,artist_name,track_name,track_id,track_popularity,artist_id,artist_popularity,artist_genres,artist_followers
119,Drake,Massive,28JBD8p18xNuOfyV7Cotdn,86,3TVXtAsR1Inumwj472S9r4,95,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",65321252
120,Carlo Rustichelli,"Pollo ruspante (Twist #2) - From ""Ro.Go.Pa.G."" / Remastered 2022",2MhAeWrUUWfE2rtvwmhb18,11,4zPqGt9888ogJunfNtXubd,28,"['classic soundtrack', 'vintage italian soundtrack']",2601
121,Kendrick Lamar,Die Hard,2g6tReTlM2Akp41g0HaeXN,85,2YZyLoL8N0Wb9xBt1NhZWg,89,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']",20995897
122,Josef Strauss,"Phönix-Marsch, Op. 105",1mhUDxfJryrpt9E7LZaRQC,22,0qU8UdzIf1I2ZxyI5OHdut,29,[],5882
123,Harry Styles,Cinema,35TyJIMR3xRouUuo2sjS6v,86,6KImCVD70vtIoJWnq6nGn3,92,['pop'],22093648
124,Pramod Kharel,Jaba Timi Le,2bsDuMYpeGQxkXgTZRa2ER,0,0RqzqV0kx1UnHr9ZHmvptl,25,"['classic nepali pop', 'nepali pop']",21075
125,Bad Bunny,Otro Atardecer,0E0DRHf5PfMeor0ZCwB3oT,88,4q3ewBCX7sLwd24euuV69X,100,"['latin', 'reggaeton', 'trap latino']",51753134
126,Master,Special Skills - Remaster 2022,6u58l9CgS5FaxvWZf3Ip03,3,2nEopdTfDVIY9e2UipMKNj,20,"['death metal', 'deathrash', 'grim death metal']",26815
127,Harry Styles,Daydreaming,69w5X6uTrOaWM32IetSzvO,85,6KImCVD70vtIoJWnq6nGn3,92,['pop'],22093648
128,Master,Blind Hatred - Remaster 2022,74tO2k3xlibifqmx6Lpgdc,4,2nEopdTfDVIY9e2UipMKNj,20,"['death metal', 'deathrash', 'grim death metal']",26815
129,BTS,Yet To Come,10SRMwb9EuVS1K9rYsBfHQ,92,3Nrfpe0tUJi4K4DXYWgMUX,92,"['k-pop', 'k-pop boy group']",52437874
130,Master,Lined up and Punishment - Remaster 2022,5bZgaJNvx65U9SB6AfnHD4,3,2nEopdTfDVIY9e2UipMKNj,20,"['death metal', 'deathrash', 'grim death metal']",26815
131,The Kid LAROI,Thousand Miles,1r8ZCjfrQxoy2wVaBUbpwg,87,2tIP7SsRs7vjIcLrU85W8J,83,['australian hip hop'],3864009
132,Master,To Fight and Die - Remaster 2022,36PqjBEHJXuq99F7CFkyC7,2,2nEopdTfDVIY9e2UipMKNj,20,"['death metal', 'deathrash', 'grim death metal']",26815
