,Unnamed: 0,artist_name,track_name,track_id,track_popularity,artist_id,artist_popularity,artist_genres,artist_followers,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature,album_image,preview_url
75,75,Bad Bunny,Un Ratito,5CzixCxDkRXX9mScCmah8O,91,4q3ewBCX7sLwd24euuV69X,100,"['latin', 'reggaeton', 'trap latino']",51753134,0.787,0.546,-7.094,0.0532,0.305,4.55e-05,0.122,0.222,93.05,5CzixCxDkRXX9mScCmah8O,176936,4,https://i.scdn.co/image/ab67616d0000b27349d694203245f241a1bcaa72,https://p.scdn.co/mp3-preview/62c5c24c4264ce0788d1655686a4eca459c82b11?cid=2763bb5284cd4f7cbb19087c145dca6f
76,76,WhispersRed ASMR,New Year Tingle Basket,7nrWOQFZWhFeyX9rKm44dk,17,4U8XXDGEnDPl105GfimoI8,28,['asmr'],23248,0.473,0.296,-37.854,0.194,0.0604,0.00193,0.281,0.0299,103.638,7nrWOQFZWhFeyX9rKm44dk,3100640,3,https://i.scdn.co/image/ab67616d0000b27391d6b5609f41464f93b9d5fe,https://p.scdn.co/mp3-preview/d5071ee09db9d5d196c29de64704368a9e7df4e4?cid=2763bb5284cd4f7cbb19087c145dca6f
77,77,Drake,Sticky,4rmVZajAF7PkrCagGPHbqa,86,3TVXtAsR1Inumwj472S9r4,95,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",65321252,0.853,0.495,-14.63,0.14,0.0917,0.000217,0.0844,0.0774,137.027,4rmVZajAF7PkrCagGPHbqa,243228,4,https://i.scdn.co/image/ab67616d0000b2738dc0d801766a5aa6a33cbe37,
78,78,The Realm,Lost In Space (The Space Brothers Remix) - 2022 Remaster,4ipwKNmXBjb359j96ujkxh,22,5v0dpdswDjbY8BmxLReUoo,7,[],47,0.576,0.984,-4.694,0.0309,0.000237,0.784,0.189,0.296,134.849,4ipwKNmXBjb359j96ujkxh,220708,4,https://i.scdn.co/image/ab67616d0000b273dcc765dfab29b9fd2a5ac389,https://p.scdn.co/mp3-preview/f966c5f708d6c4e0c9c390b3a326a93317941a70?cid=2763bb5284cd4f7cbb19087c145dca6f
79,79,Yung Gravy,Betty (Get Money),4cacyP5c3PMlfnyjpg13xW,84,2YOYua8FpudSEiB9s88IgQ,73,"['minnesota hip hop', 'pop rap']",1368611,0.723,0.772,-6.784,0.0792,0.00524,1.15e-05,0.367,0.58,102.004,4cacyP5c3PMlfnyjpg13xW,146471,4,https://i.scdn.co/image/ab67616d0000b273633674a4e5072dabf5173069,
80,80,Gaana Subash,Happy New Year 2022,7CT6n85AuowzdPKFl9cXM4,15,3uOEdKZ7hTOfC0M33TYvNs,26,[],1206,0.771,0.959,-4.118,0.294,0.31,0.0,0.17,0.712,81.526,7CT6n85AuowzdPKFl9cXM4,260058,4,https://i.scdn.co/image/ab67616d0000b27351bfb057384dcc6ecfc4a899,https://p.scdn.co/mp3-preview/b27d9ca076d1fb4834d02461c11bec4821ae9fdc?cid=2763bb5284cd4f7cbb19087c145dca6f
81,81,Bad Bunny,La Corriente,1797zYiX4cKosMH836X9Gt,91,4q3ewBCX7sLwd24euuV69X,100,"['latin', 'reggaeton', 'trap latino']",51753134,0.663,0.786,-3.51,0.195,0.229,0.0,0.219,0.579,196.12,1797zYiX4cKosMH836X9Gt,198367,4,https://i.scdn.co/image/ab67616d0000b27349d694203245f241a1bcaa72,https://p.scdn.co/mp3-preview/5b652748ee9a5a10433e28fa0f63f365b8bf58c2?cid=2763bb5284cd4f7cbb19087c145dca6f
82,82,Zeekonthebeat,Happy New Years 2022,5bOP7QNXOdbaIP5uyN8Jrv,7,2ibE6lpyWtRBjDskTXQcVa,12,[],156,0.328,0.437,-18.794,0.0722,0.0314,0.0,0.612,0.253,93.994,5bOP7QNXOdbaIP5uyN8Jrv,93623,1,https://i.scdn.co/image/ab67616d0000b273826117f597f3d6ab1b9c3350,https://p.scdn.co/mp3-preview/36b43f79e7d7ccaaf1746336e664cc57b25231ba?cid=2763bb5284cd4f7cbb19087c145dca6f
83,83,Harry Styles,Satellite,0rzaRSujxA0bKyjJl6vHYq,87,6KImCVD70vtIoJWnq6nGn3,92,['pop'],22093648,0.576,0.457,-6.473,0.0304,0.143,3.05e-05,0.0917,0.301,138.984,0rzaRSujxA0bKyjJl6vHYq,218577,4,https://i.scdn.co/image/ab67616d0000b2732e8ed79e177ff6011076f5f0,https://p.scdn.co/mp3-preview/5612de881ffc72dce29adc6338ec1087564dd546?cid=2763bb5284cd4f7cbb19087c145dca6f
84,84,Social Creatures,Seven Years,7hTp6fqhhfl3jrrvWEGW5r,19,0Adb8zoz7BJ9T37gicl8oC,11,[],245,0.503,0.77,-7.379,0.0356,0.00511,1.11e-05,0.127,0.558,141.996,7hTp6fqhhfl3jrrvWEGW5r,235178,4,https://i.scdn.co/image/ab67616d0000b273e4ec9ac4416f1388e3f220ef,https://p.scdn.co/mp3-preview/d4565ba04ad96a11bb3ae9232762e873c6f9f159?cid=2763bb5284cd4f7cbb19087c145dca6f
