,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature
76,0.473,0.296,-37.854,0.194,0.0604,0.00193,0.281,0.0299,103.638,7nrWOQFZWhFeyX9rKm44dk,3100640,3
77,0.853,0.495,-14.63,0.14,0.0917,0.000217,0.0844,0.0774,137.027,4rmVZajAF7PkrCagGPHbqa,243228,4
78,0.576,0.984,-4.694,0.0309,0.000237,0.784,0.189,0.296,134.849,4ipwKNmXBjb359j96ujkxh,220708,4
79,0.723,0.772,-6.784,0.0792,0.00524,1.15e-05,0.367,0.58,102.004,4cacyP5c3PMlfnyjpg13xW,146471,4
80,0.771,0.959,-4.118,0.294,0.31,0.0,0.17,0.712,81.526,7CT6n85AuowzdPKFl9cXM4,260058,4
81,0.663,0.786,-3.51,0.195,0.229,0.0,0.219,0.579,196.12,1797zYiX4cKosMH836X9Gt,198367,4
82,0.328,0.437,-18.794,0.0722,0.0314,0.0,0.612,0.253,93.994,5bOP7QNXOdbaIP5uyN8Jrv,93623,1
83,0.576,0.457,-6.473,0.0304,0.143,3.05e-05,0.0917,0.301,138.984,0rzaRSujxA0bKyjJl6vHYq,218577,4
84,0.503,0.77,-7.379,0.0356,0.00511,1.11e-05,0.127,0.558,141.996,7hTp6fqhhfl3jrrvWEGW5r,235178,4
85,0.872,0.588,-6.276,0.0492,0.275,0.0,0.17,0.93,142.004,5kVZxyMY1gfdCLiChsfjn1,230704,4
86,0.399,0.579,-10.155,0.0295,0.000527,0.838,0.0968,0.158,92.512,0ZQgWgsIfaECd7Cket7TVO,274265,4
87,0.876,0.498,-7.511,0.0478,0.0706,0.0,0.143,0.428,122.016,31i56LZnwE6uSu3exoHjtB,173119,4
88,0.589,0.801,-3.614,0.0325,0.608,1.71e-05,0.113,0.841,140.014,0oLoGMQkCrBw0vRQfMw1rl,256456,4
89,0.645,0.721,-4.394,0.0336,0.357,0.143,0.204,0.88,182.928,4j6kId9QIqhoXvqHKgSKa0,191959,4
90,0.555,0.771,-11.511,0.0383,0.00204,0.136,0.36,0.269,126.358,1U7isoIVpgTXGjIUi5LUEf,197855,3
91,0.79,0.67,-5.527,0.105,0.377,2.32e-06,0.119,0.408,139.956,0fX4oNGBWO3dSGUZcVdVV2,195950,4
92,0.791,0.756,-8.457,0.0445,0.0138,0.795,0.0716,0.203,112.994,5VnuU70qRWGrkLPkMLTiD4,309494,4
93,0.559,0.535,-7.723,0.039,0.719,0.000143,0.0954,0.402,141.96,3i058E8uxTsYqJ5NWZzqSj,202183,4
94,0.767,0.586,-9.886,0.0639,0.0549,0.0615,0.478,0.343,120.022,26iSIshoolIrb0jE135S3Q,408000,4
95,0.345,0.612,-6.543,0.0608,0.232,0.0,0.194,0.232,179.773,59CfNbkERJ3NoTXDvoURjj,153000,3
96,0.448,0.973,-4.336,0.0356,0.0202,0.894,0.284,0.29,137.822,5oFsYgfoaWsfQsEqq4ueSe,242916,4
97,0.814,0.628,-7.178,0.221,0.167,0.0,0.101,0.677,123.977,7mFj0LlWtEJaEigguaWqYh,201334,4
98,0.796,0.798,-6.312,0.0317,0.034,4.19e-05,0.0952,0.942,116.032,4Rfyd7l9GhfpOvpKAaVg8S,202735,4
99,0.883,0.657,-5.748,0.305,0.0603,0.0,0.128,0.284,124.992,1qMMYpVatbRITKCfq1gasi,172933,4
100,0.464,0.981,-5.747,0.137,1.63e-06,0.787,0.115,0.471,155.007,07YCdWDFpifgVQSSjEA3JS,289520,4
101,0.607,0.912,-3.449,0.0611,0.124,0.0,0.332,0.722,134.944,200x8ONbPfFzByUr3fVz46,206107,4
102,0.471,0.984,-5.359,0.128,0.0,0.887,0.103,0.362,130.012,57EB7KVs5VYoEipWwXZ7vB,271387,4
103,0.669,0.773,-5.619,0.153,0.038,0.0,0.113,0.377,93.923,7DwcBgdzqhFJltEaV1XF81,185857,4
104,0.441,0.283,-23.314,0.0326,0.65,0.844,0.116,0.201,80.002,4vhI1QMQdiugqqyCCSqaf0,216094,4
105,0.721,0.479,-9.669,0.226,0.321,0.00156,0.182,0.902,164.948,2NcQic8JxdjAlAHuNbOIRE,140242,3
106,0.464,0.968,-5.483,0.111,1.46e-06,0.612,0.225,0.625,160.04,5yj1dm48yVNOfJyiWt5RUv,208947,4
107,0.582,0.568,-7.3,0.0275,0.577,0.0,0.105,0.394,121.991,4686eQ81DEswHa90bcdlC9,207541,3
108,0.877,0.808,-7.502,0.0401,0.0426,0.248,0.119,0.966,133.237,14mRtbBGeqILGZI1r49Uv5,230840,4
109,0.833,0.652,-6.942,0.0762,0.00161,0.0985,0.106,0.405,158.022,0LnS7aOdOdI1dNKZqdOLz4,135053,4
110,0.282,0.973,-5.784,0.165,1.64e-06,0.653,0.281,0.584,157.972,0hM8AIivT8bikiYbSIXins,297813,4
111,0.712,0.861,-5.487,0.25,0.0182,6.09e-06,0.511,0.388,84.042,06JvOZ39sK8D8SqiqfaxDU,148571,4
112,0.379,0.987,-4.738,0.188,1.46e-06,0.659,0.529,0.248,160.097,7c0xeLh1Dun4gevWAQZKO7,157440,4
113,0.821,0.636,-4.479,0.169,0.142,0.0,0.233,0.163,127.961,0QNNd0qMCDbraS1nQPg3aA,142657,4
114,0.433,0.976,-5.135,0.0897,1.28e-06,0.791,0.123,0.626,170.205,5O65MsBzz1cEl3Dmd2QjfN,278760,4
115,0.555,0.536,-8.233,0.0452,0.669,0.0,0.0623,0.203,118.057,1mw0RgNXIpYRyyCdBQbLgA,191638,4
